freq_Hz,Sdd11_re,Sdd11_im,Sdd21_re,Sdd21_im,Sdc11_re,Sdc11_im,Scc11_re,Scc11_im
3.242500000000000000e+09,4.001064541414248166e-01,-8.979329617040411604e-02,-2.004960606516706934e-01,-8.737947238811551998e-01,-3.344846619520836818e-03,1.666900254300573286e-02,3.993289167095692704e-01,-1.382495417228331858e-01
3.491875000000000000e+09,3.708010427956803245e-01,-1.337775395992653049e-01,-3.131595377692523718e-01,-8.462850813284995555e-01,4.917660019415389348e-03,1.748073647698013613e-02,3.590681151828991058e-01,-1.635926516273069342e-01
3.741250000000000000e+09,3.299789578021260494e-01,-1.692370199089520411e-01,-4.255697514156593364e-01,-8.051096661173655633e-01,1.225988576743798283e-02,1.477913644332284546e-02,3.072892015699778545e-01,-1.754843507810874281e-01
3.990625000000000000e+09,2.799172522022040921e-01,-1.927967598165834517e-01,-5.360787648819618223e-01,-7.481792934413115104e-01,1.772274576796414869e-02,9.426815090043536710e-03,2.522065485204632584e-01,-1.676103462841393998e-01
4.240000000000000000e+09,2.240649443757637693e-01,-2.016721105229422051e-01,-6.417297338877847590e-01,-6.736763136659488227e-01,2.056632975513729769e-02,2.278321230793334783e-03,2.037617563819509592e-01,-1.408140186555252027e-01
4.489375000000000000e+09,1.670008356885639422e-01,-1.941642719100650782e-01,-7.381128408246426797e-01,-5.806534445315878479e-01,2.037375829200785762e-02,-5.759160340225590036e-03,1.680748274751517335e-01,-1.016255333970310093e-01
4.738750000000000000e+09,1.141859134336089820e-01,-1.707796779826396549e-01,-8.190668292387602856e-01,-4.704502229145189895e-01,1.649133354844285748e-02,-1.477006110181035628e-02,1.434449888315688371e-01,-5.750565906849326031e-02
4.988125000000000000e+09,6.601254617401676461e-02,-1.359804725609762288e-01,-8.804836803701561188e-01,-3.516318442163754998e-01,-5.631088500229197713e-04,-2.140235570652940233e-02,1.173412086642539875e-01,3.142550682222453040e-03
5.237500000000000000e+09,3.137472945551194464e-02,-7.260310122040219971e-02,-9.356846837493821845e-01,-2.266713331785418228e-01,1.187402523220482727e-03,1.124594028438112570e-03,1.666319588238087401e-01,8.399198810555749684e-02
5.486875000000000000e+09,2.332843876658373394e-02,-1.571912658364788690e-02,-9.655220209547691335e-01,-7.382598053103767155e-02,4.946611635044729539e-03,-8.557157988987268080e-03,1.967283413807490999e-01,9.947004091702472961e-02
5.736250000000000000e+09,2.831472597695801688e-02,4.292478252084815094e-02,-9.605404842137684751e-01,7.675984551700403002e-02,-3.727796238687380859e-05,-9.985202467990310013e-03,2.289652147066559840e-01,1.276802513260007765e-01
5.985625000000000000e+09,5.041831688437499459e-02,9.772232357721401252e-02,-9.298832831508193619e-01,2.197905759289541794e-01,-3.584168617672543310e-03,-8.056873940021554506e-03,2.736246781845502740e-01,1.459489330986360189e-01
6.235000000000000000e+09,8.719684728992910250e-02,1.428913373103823103e-01,-8.771740207777724008e-01,3.519751846576366638e-01,-5.658008164705050774e-03,-5.347160783665420858e-03,3.224208273013696724e-01,1.475130682855830544e-01
6.484375000000000000e+09,1.344343924029855752e-01,1.747990364094139104e-01,-8.060716368572529156e-01,4.702448643072835721e-01,-6.738465271478644159e-03,-2.388537854611150549e-03,3.677472015691865548e-01,1.328362233885506394e-01
6.733750000000000000e+09,1.874303234464583245e-01,1.916323336946738898e-01,-7.206137197301126784e-01,5.726259072782117210e-01,-6.954888994963847638e-03,6.997859100762128179e-04,4.041491519658092502e-01,1.051662394865160721e-01
6.983125000000000000e+09,2.415819453353919011e-01,1.931252427099366120e-01,-6.247231406761738493e-01,6.583696488021628657e-01,-6.261328652346810283e-03,3.766451072315877766e-03,4.281638812826146223e-01,6.907831109167600347e-02
7.232500000000000000e+09,2.927718173611078001e-01,1.802518418388074917e-01,-5.217947065496837400e-01,7.277178000045724238e-01,-4.610556543807240587e-03,6.537733897795728819e-03,4.382642990468950117e-01,2.988532614658923753e-02
7.481875000000000000e+09,3.375922781756269808e-01,1.548923126606025769e-01,-4.144756051669699626e-01,7.815328352001770229e-01,-2.080560283434988982e-03,8.637289950257779833e-03,4.351291007151422696e-01,-6.875331837603908258e-03
7.731250000000000000e+09,3.734337095075419000e-01,1.195189392992517530e-01,-3.046328563651303778e-01,8.209217158241695067e-01,1.020003826673829880e-03,9.677789040141208943e-03,4.219715996382074064e-01,-3.645761323254703701e-02
7.980625000000000000e+09,3.984745575484905378e-01,7.693498740619625353e-02,-1.934585517022521794e-01,8.469290699272740142e-01,4.114290759165203405e-03,9.457174600745426110e-03,4.041026309121295013e-01,-5.657302465773929312e-02
8.230000000000000000e+09,4.116079044227194395e-01,3.008528819548803024e-02,-8.164583075043591043e-02,8.603277850066697319e-01,6.524067767346850705e-03,8.196492758106032478e-03,3.868522158139537925e-01,-6.870295808394458192e-02
8.479375000000000000e+09,4.123462455275824223e-01,-1.804244664286082031e-02,3.041342140085070977e-02,8.614851129408680475e-01,7.856227629462291667e-03,6.565818584855723054e-03,3.725938178713310012e-01,-7.715206736281736422e-02
8.728750000000000000e+09,4.007753658909356531e-01,-6.443212867636510799e-02,1.424012555135024116e-01,8.502754990622636289e-01,8.297304575116582967e-03,5.334616999008193368e-03,3.596555879232975483e-01,-8.570682747110899835e-02
8.978125000000000000e+09,3.776153441974620661e-01,-1.060480905383611450e-01,2.537881089875467233e-01,8.260726604734502931e-01,8.504047694333195795e-03,4.911483916755495643e-03,3.444807488998478107e-01,-9.487312341212669753e-02
9.227500000000000000e+09,3.443550695372808446e-01,-1.399483936582020804e-01,3.635266486663711882e-01,7.878929859338246189e-01,9.214580232621130684e-03,5.149730322245039613e-03,3.247697011113420684e-01,-1.020517028592794473e-01
9.476875000000000000e+09,3.033456601449768808e-01,-1.635484985822235338e-01,4.698323041592940008e-01,7.347117396673986667e-01,1.089370931841711874e-02,5.454652263816890147e-03,3.009736424845917968e-01,-1.036822899141523341e-01
9.726250000000000000e+09,2.577344481969471301e-01,-1.749829232121304090e-01,5.701594410132067026e-01,6.658859054793547783e-01,1.353496064224926632e-02,5.036549621834342239e-03,2.758429832557947603e-01,-9.728163500280107012e-02
9.975625000000000000e+09,2.111818694892780013e-01,-1.734353332251258317e-01,6.614224044879122300e-01,5.815465630011877884e-01,1.662167710424709843e-02,3.221198579764749433e-03,2.530552317450167621e-01,-8.238885070076565342e-02
1.022500000000000000e+10,1.674144055460278502e-01,-1.592851439413076053e-01,7.404013403364582135e-01,4.828050913636238173e-01,1.927773773466734050e-02,-2.492539207754672186e-04,2.358683965632153712e-01,-6.043495073106631976e-02
1.047437500000000000e+10,1.297769797263256808e-01,-1.339979705492113371e-01,8.041642371598696215e-01,3.716991693532640251e-01,2.059889767604390978e-02,-5.063591860911043074e-03,2.263329553812917783e-01,-3.396569683312156140e-02
1.072375000000000000e+10,1.009520111876135440e-01,-9.984327239109441754e-02,8.503349695079972514e-01,2.509616015254750865e-01,2.001295319729325464e-02,-1.045333882924236527e-02,2.251970273617949492e-01,-5.753069551666094295e-03
1.097312500000000000e+10,8.287399216837558480e-02,-5.961764974663968236e-02,8.771772641986279595e-01,1.237892624878742798e-01,1.745718455995245999e-02,-1.551156103776733797e-02,2.323106202377027973e-01,2.178014466010956204e-02
