freq_Hz,S11_dB,S21_dB
1.190830000000000000e+09,-1.143701816466842480e+01,-3.301012047901646929e-01
1.195204375000000000e+09,-1.141037678712301684e+01,-3.318697674403732201e-01
1.199578750000000000e+09,-1.138376644892836254e+01,-3.336551595326311404e-01
1.203953125000000000e+09,-1.135718649034131644e+01,-3.354588876430030786e-01
1.208327500000000000e+09,-1.133063623905430539e+01,-3.372824157502934406e-01
1.212701875000000000e+09,-1.130411500688596860e+01,-3.391271604805206619e-01
1.217076250000000000e+09,-1.127762208666807098e+01,-3.409944866163558408e-01
1.221450625000000000e+09,-1.125115674934070320e+01,-3.428857028870038182e-01
1.225825000000000000e+09,-1.122471824126687956e+01,-3.448020580526625634e-01
1.230199375000000000e+09,-1.119830578177666425e+01,-3.467447372963180507e-01
1.234573750000000000e+09,-1.117191856094952840e+01,-3.487148589341288463e-01
1.238948125000000000e+09,-1.114555573764248564e+01,-3.507134714542321507e-01
1.243322500000000000e+09,-1.111921643777059643e+01,-3.527415508922577270e-01
1.247696875000000000e+09,-1.109289975284492158e+01,-3.547999985503008658e-01
1.252071250000000000e+09,-1.106660473877173878e+01,-3.568896390645454053e-01
1.256445625000000000e+09,-1.104033041491595313e+01,-3.590112188253120618e-01
1.260820000000000000e+09,-1.101407576342975503e+01,-3.611654047515142629e-01
1.265194375000000000e+09,-1.098783972884705129e+01,-3.633527834202374684e-01
1.269568750000000000e+09,-1.096162121794213107e+01,-3.655738605503644489e-01
1.273943125000000000e+09,-1.093541909985080807e+01,-3.678290608379796711e-01
1.278317500000000000e+09,-1.090923220644997116e+01,-3.701187281394382467e-01
1.282691875000000000e+09,-1.088305933299121975e+01,-3.724431259969303021e-01
1.287066250000000000e+09,-1.085689923898262421e+01,-3.748024384996146430e-01
1.291440625000000000e+09,-1.083075064931169074e+01,-3.771967714724091536e-01
1.295815000000000000e+09,-1.080461225560165950e+01,-3.796261539828004739e-01
1.300189375000000000e+09,-1.077848271779192046e+01,-3.820905401553197911e-01
1.304563750000000000e+09,-1.075236066593303264e+01,-3.845898112815474001e-01
1.308938125000000000e+09,-1.072624470218509174e+01,-3.871237782130024785e-01
1.313312500000000000e+09,-1.070013340300818960e+01,-3.896921840227952627e-01
1.317686875000000000e+09,-1.067402532153230332e+01,-3.922947069210722115e-01
1.322061250000000000e+09,-1.064791899009371612e+01,-3.949309634086702880e-01
1.326435625000000000e+09,-1.062181292292422974e+01,-3.976005116520739402e-01
1.330810000000000000e+09,-1.059570561897873908e+01,-4.003028550625751247e-01
1.335184375000000000e+09,-1.056959556488680185e+01,-4.030374460615343546e-01
1.339558750000000000e+09,-1.054348123801276316e+01,-4.058036900133517033e-01
1.343933125000000000e+09,-1.051736110960913706e+01,-4.086009493070757448e-01
1.348307500000000000e+09,-1.049123364804754921e+01,-4.114285475674325787e-01
1.352681875000000000e+09,-1.046509732211136523e+01,-4.142857739755660962e-01
1.357056250000000000e+09,-1.043895060433418465e+01,-4.171718876798183873e-01
1.361430625000000000e+09,-1.041279197436809767e+01,-4.200861222765986946e-01
1.365805000000000000e+09,-1.038661992236581177e+01,-4.230276903413914269e-01
1.370179375000000000e+09,-1.036043295236113337e+01,-4.259957879902717681e-01
1.374553750000000000e+09,-1.033422958563201632e+01,-4.289895994520404043e-01
1.378928125000000000e+09,-1.030800836403087217e+01,-4.320083016317132762e-01
1.383302500000000000e+09,-1.028176785326754583e+01,-4.350510686462337739e-01
1.387676875000000000e+09,-1.025550664613003349e+01,-4.381170763136483792e-01
1.392051250000000000e+09,-1.022922336562904988e+01,-4.412055065776346319e-01
1.396425625000000000e+09,-1.020291666805304942e+01,-4.443155518495576217e-01
1.400800000000000000e+09,-1.017658524592048686e+01,-4.474464192511002358e-01
1.405174375000000000e+09,-1.015022783081708724e+01,-4.505973347409455987e-01
1.409548750000000000e+09,-1.012384319610654515e+01,-4.537675471099124058e-01
1.413923125000000000e+09,-1.009743015950353140e+01,-4.569563318296477883e-01
1.418297500000000000e+09,-1.007098758549902762e+01,-4.601629947407187005e-01
1.422671875000000000e+09,-1.004451438762844262e+01,-4.633868755670575990e-01
1.427046250000000000e+09,-1.001800953057386145e+01,-4.666273512443592231e-01
1.431420625000000000e+09,-9.991472032092969968e+00,-4.698838390512559693e-01
1.435795000000000000e+09,-9.964900964767522851e+00,-4.731557995328977140e-01
1.440169375000000000e+09,-9.938295457565438085e+00,-4.764427392075831769e-01
1.444543750000000000e+09,-9.911654697211584875e+00,-4.797442130483581257e-01
1.448918125000000000e+09,-9.884977929362953830e+00,-4.830598267322138151e-01
1.453292500000000000e+09,-9.858264459584948014e+00,-4.863892386508956167e-01
1.457666875000000000e+09,-9.831513654126663226e+00,-4.897321616782179254e-01
1.462041250000000000e+09,-9.804724940493494856e+00,-4.930883646899894002e-01
1.466415625000000000e+09,-9.777897807816790632e+00,-4.964576738337425077e-01
1.470790000000000000e+09,-9.751031807020808628e+00,-4.998399735463170401e-01
1.475164375000000000e+09,-9.724126550788396273e+00,-5.032352073189181318e-01
1.479538750000000000e+09,-9.697181713327420738e+00,-5.066433782096991800e-01
1.483913125000000000e+09,-9.670197029941135725e+00,-5.100645491055897374e-01
1.488287500000000000e+09,-9.643172296406277155e+00,-5.134988427356435015e-01
1.492661875000000000e+09,-9.616107368163373081e+00,-5.169464414394667751e-01
1.497036250000000000e+09,-9.589002159324984120e+00,-5.204075866950867990e-01
1.501410625000000000e+09,-9.561856641507874954e+00,-5.238825784118166240e-01
1.505785000000000000e+09,-9.534670842496044685e+00,-5.273717739942441751e-01
1.510159375000000000e+09,-9.507444844742060752e+00,-5.308755871846165819e-01
1.514533750000000000e+09,-9.480178783715047075e+00,-5.343944866916562342e-01
1.518908125000000000e+09,-9.452872846103941740e+00,-5.379289946145113799e-01
1.523282500000000000e+09,-9.425527267885398075e+00,-5.414796846715610457e-01
1.527656875000000000e+09,-9.398142332266079535e+00,-5.450471802440974844e-01
