freq_Hz,S11_dB,S21_dB
1.133963125000000000e+09,-1.178491688497302015e+01,-3.046842660439900152e-01
1.138337500000000000e+09,-1.175775555261567717e+01,-3.062708959093706218e-01
1.142711875000000000e+09,-1.173064261381571072e+01,-3.078679165717159716e-01
1.147086250000000000e+09,-1.170357740824234938e+01,-3.094771954989001261e-01
1.151460625000000000e+09,-1.167655927478655897e+01,-3.111005690072800034e-01
1.155835000000000000e+09,-1.164958754660664120e+01,-3.127398351983680103e-01
1.160209375000000000e+09,-1.162266154635214122e+01,-3.143967471610501496e-01
1.164583750000000000e+09,-1.159578058158805902e+01,-3.160730064666057437e-01
1.168958125000000000e+09,-1.156894394043924379e+01,-3.177702569820989864e-01
1.173332500000000000e+09,-1.154215088747418605e+01,-3.194900790261123724e-01
1.177706875000000000e+09,-1.151540065984572259e+01,-3.212339838888733645e-01
1.182081250000000000e+09,-1.148869246370494146e+01,-3.230034087368952589e-01
1.186455625000000000e+09,-1.146202547090282131e+01,-3.247997119205096039e-01
1.190830000000000000e+09,-1.143539881599276242e+01,-3.266241687003287320e-01
1.195204375000000000e+09,-1.140881159354548480e+01,-3.284779674068596944e-01
1.199578750000000000e+09,-1.138226285578588204e+01,-3.303622060451931741e-01
1.203953125000000000e+09,-1.135575161056024385e+01,-3.322778893545550449e-01
1.208327500000000000e+09,-1.132927681963979971e+01,-3.342259263304352412e-01
1.212701875000000000e+09,-1.130283739736534621e+01,-3.362071282146177897e-01
1.217076250000000000e+09,-1.127643220963585335e+01,-3.382222069563939892e-01
1.221450625000000000e+09,-1.125006007324194002e+01,-3.402717741459629908e-01
1.225825000000000000e+09,-1.122371975554360546e+01,-3.423563404188657566e-01
1.230199375000000000e+09,-1.119740997448984388e+01,-3.444763153282097701e-01
1.234573750000000000e+09,-1.117112939897612733e+01,-3.466320076791868932e-01
1.238948125000000000e+09,-1.114487664953364288e+01,-3.488236263185381381e-01
1.243322500000000000e+09,-1.111865029934346438e+01,-3.510512813694407486e-01
1.247696875000000000e+09,-1.109244887556631198e+01,-3.533149859004994786e-01
1.252071250000000000e+09,-1.106627086097770984e+01,-3.556146580155358783e-01
1.256445625000000000e+09,-1.104011469589674554e+01,-3.579501233492969892e-01
1.260820000000000000e+09,-1.101397878039509770e+01,-3.603211179523035379e-01
1.265194375000000000e+09,-1.098786147677233416e+01,-3.627272915467111281e-01
1.269568750000000000e+09,-1.096176111228126260e+01,-3.651682111334013658e-01
1.273943125000000000e+09,-1.093567598208754177e+01,-3.676433649293368022e-01
1.278317500000000000e+09,-1.090960435244516624e+01,-3.701521666128090859e-01
1.282691875000000000e+09,-1.088354446406992970e+01,-3.726939598533197118e-01
1.287066250000000000e+09,-1.085749453569128065e+01,-3.752680231015234624e-01
1.291440625000000000e+09,-1.083145276776292221e+01,-3.778735746142474761e-01
1.295815000000000000e+09,-1.080541734631174222e+01,-3.805097776883468175e-01
1.300189375000000000e+09,-1.077938644690388870e+01,-3.831757460771298418e-01
1.304563750000000000e+09,-1.075335823870749152e+01,-3.858705495620590731e-01
1.308938125000000000e+09,-1.072733088862994499e+01,-3.885932196526079574e-01
1.313312500000000000e+09,-1.070130256550890557e+01,-3.913427553866066222e-01
1.317686875000000000e+09,-1.067527144433510955e+01,-3.941181292034381389e-01
1.322061250000000000e+09,-1.064923571048606377e+01,-3.969182928627368878e-01
1.326435625000000000e+09,-1.062319356394931802e+01,-3.997421833809557956e-01
1.330810000000000000e+09,-1.059714322351457838e+01,-4.025887289590032170e-01
1.335184375000000000e+09,-1.057108293091447138e+01,-4.054568548741691592e-01
1.339558750000000000e+09,-1.054501095489410645e+01,-4.083454893104362382e-01
1.343933125000000000e+09,-1.051892559519018633e+01,-4.112535691015664074e-01
1.348307500000000000e+09,-1.049282518640125339e+01,-4.141800453625869016e-01
1.352681875000000000e+09,-1.046670810173139543e+01,-4.171238889856335730e-01
1.357056250000000000e+09,-1.044057275659056572e+01,-4.200840959775274941e-01
1.361430625000000000e+09,-1.041441761203554073e+01,-4.230596926172306427e-01
1.365805000000000000e+09,-1.038824117803652669e+01,-4.260497404125571652e-01
1.370179375000000000e+09,-1.036204201655577606e+01,-4.290533408366948853e-01
1.374553750000000000e+09,-1.033581874442514703e+01,-4.320696398263688121e-01
1.378928125000000000e+09,-1.030957003601099586e+01,-4.350978320248616305e-01
1.383302500000000000e+09,-1.028329462565613284e+01,-4.381371647543780279e-01
1.387676875000000000e+09,-1.025699130988932950e+01,-4.411869417037884711e-01
1.392051250000000000e+09,-1.023065894939437115e+01,-4.442465263192623137e-01
1.396425625000000000e+09,-1.020429647073216373e+01,-4.473153448866460380e-01
1.400800000000000000e+09,-1.017790286781001186e+01,-4.503928892963205421e-01
1.405174375000000000e+09,-1.015147720309410673e+01,-4.534787194823450274e-01
1.409548750000000000e+09,-1.012501860856221469e+01,-4.565724655297959123e-01
1.413923125000000000e+09,-1.009852628639486660e+01,-4.596738294453411311e-01
1.418297500000000000e+09,-1.007199950940480448e+01,-4.627825865878999467e-01
1.422671875000000000e+09,-1.004543762120539263e+01,-4.658985867578140927e-01
1.427046250000000000e+09,-1.001884003612007135e+01,-4.690217549442533551e-01
1.431420625000000000e+09,-9.992206238836462973e+00,-4.721520917325352507e-01
1.435795000000000000e+09,-9.965535783809233550e+00,-4.752896733741230340e-01
1.440169375000000000e+09,-9.938828294417545450e+00,-4.784346515237080100e-01
1.444543750000000000e+09,-9.912083461883833380e+00,-4.815872526493629735e-01
1.448918125000000000e+09,-9.885301043961664647e+00,-4.847477771227909904e-01
1.453292500000000000e+09,-9.858480863401418048e+00,-4.879165979983862145e-01
1.457666875000000000e+09,-9.831622806203695220e+00,-4.910941594908377339e-01
1.462041250000000000e+09,-9.804726819670928961e+00,-4.942809751623922221e-01
1.466415625000000000e+09,-9.777792910268862769e+00,-4.974776258319826283e-01
1.470790000000000000e+09,-9.750821141310046514e+00,-5.006847572194268459e-01
1.475164375000000000e+09,-9.723811630472470213e+00,-5.039030773392260132e-01
1.479538750000000000e+09,-9.696764547166788262e+00,-5.071333536589154312e-01
1.483913125000000000e+09,-9.669680109766602527e+00,-5.103764100384040603e-01
1.488287500000000000e+09,-9.642558582716304727e+00,-5.136331234669002654e-01
1.492661875000000000e+09,-9.615400273531626851e+00,-5.169044206152202392e-01
1.497036250000000000e+09,-9.588205529708579533e+00,-5.201912742215200058e-01
1.501410625000000000e+09,-9.560974735556396098e+00,-5.234946993292400874e-01
1.505785000000000000e+09,-9.533708308970483714e+00,-5.268157493963734339e-01
1.510159375000000000e+09,-9.506406698161445235e+00,-5.301555122954407784e-01
1.514533750000000000e+09,-9.479070378356457383e+00,-5.335151062239935627e-01
1.518908125000000000e+09,-9.451699848488850364e+00,-5.368956755453673235e-01
1.523282500000000000e+09,-9.424295627892128380e+00,-5.402983865796993079e-01
1.527656875000000000e+09,-9.396858253014061191e+00,-5.437244233649882741e-01
1.532031250000000000e+09,-9.369388274166466246e+00,-5.471749834079460140e-01
1.536405625000000000e+09,-9.341886252325881657e+00,-5.506512734442674528e-01
1.540780000000000000e+09,-9.314352755999884437e+00,-5.541545052273367800e-01
1.545154375000000000e+09,-9.286788358173318159e+00,-5.576858913643738536e-01
1.549528750000000000e+09,-9.259193633348415275e+00,-5.612466412182557374e-01
1.553903125000000000e+09,-9.231569154691694479e+00,-5.648379568928757477e-01
1.558277500000000000e+09,-9.203915491300413976e+00,-5.684610293191676433e-01
1.562651875000000000e+09,-9.176233205600043519e+00,-5.721170344581906209e-01
1.567026250000000000e+09,-9.148522850884127422e+00,-5.758071296371329861e-01
1.571400625000000000e+09,-9.120784969006368925e+00,-5.795324500328649098e-01
1.575775000000000000e+09,-9.093020088234501586e+00,-5.832941053171312173e-01
1.580149375000000000e+09,-9.065228721274161572e+00,-5.870931764763344107e-01
1.584523750000000000e+09,-9.037411363470413406e+00,-5.909307128178540314e-01
1.588898125000000000e+09,-9.009568491193176598e+00,-5.948077291739470862e-01
1.593272500000000000e+09,-8.981700560412310352e+00,-5.987252033129371043e-01
1.597646875000000000e+09,-8.953808005466642683e+00,-6.026840735665668358e-01
